X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,Bankrupt,Id
0.04177,0.2541,0.71519,4.148,111.01,0,0.059169,2.9354,1.89,0.7459,0.059714,0.26044,0.036343,0.059169,1350.2,0.27032,3.9354,0.059169,0.031306,28.75,0.86891,0.041374,0.0221,1.9953,0.69357,0.20185,75.962,12.411,4.2643,-0.088239,0.031337,44.919,8.1258,7.265,0.04398,1.89,?,0.7459,0.023269,1.8526,0.16642,0.021891,100.71,71.96,0.28058,3.4927,29.434,0.031854,0.016853,3.7086,0.22719,0.12306,12.944,12.944,13145.0,0.023269,0.055999999999999994,0.96909,0.0,12.696,5.0723,43.873,8.3194,32.798,0,5278
-0.15536,0.49532,0.10071,1.3273,11.203,0,-0.15536,1.0189,2.2371,0.50468,-0.15536,-0.50486,-0.062161,-0.15536,-1300.1,-0.28075,2.0189,-0.15536,-0.069449,5.5045,0.7987,0,-0.069449,-0.017735,0.4745,-0.28075,?,0.17025,3.3655,0.20079,-0.13897,51.799,7.0465,4.3778,0.004105,2.2371,1.9975,0.69227,0.001835,0.14995,1.0127,0,59.112,53.608,-4.6052,1.2176,5.6787,-0.016304,-0.0072882,0.8246,0.30773,0.14192,0.85313,1.1702,233.64,0.030684,-0.30785,0.97315,0.3717,66.31,6.8087,50.21,7.2695,3.7817,0,5115
0.11876,0.35325,0.22151,1.629,4.298,0.34991,0.1474,1.8101,1.0571,0.63942,0.1474,0.41858,0.069644,0.1474,683.55,0.53398,2.8309,0.1474,0.054423,25.191,1.1816,0.14647,0.043847,0.43479,0.63942,0.45289,0.57168,0.51958,5.5878,0.12892,0.054423,50.169,7.2755,0.41463,0.14647,2.7152,352.25,0.64052,0.054078,0.024316,0.061877,0.054078,76.155,50.965,0.63532,1.0982,26.63,0.10524,0.038857,1.624,0.35215,0.13745,1.4998,1.5024,85747.0,0.054049,0.18573,0.94595,0.0017170999999999998,14.49,7.1618,47.457,7.6912,6.3528,0,7606
-0.61729,1.1413,-1.0256,0.10137,-276.61,-0.31494,-0.61729,-0.12379000000000001,0.85277,-0.14127,-0.57718,-0.54088,-0.63957,-0.61729,-763.76,-0.4779,0.87621,-0.61729,-0.72387,0,0.57505,-0.61397,-0.72387,-0.9322299999999999,-0.16554000000000002,-0.4779,-15.306,-1.1598,3.3139999999999996,1.2883,-0.72387,293.04,1.2456,1.2456,-0.56877,0.85277,?,-0.14127,-0.66697,0.047413,-0.070178,-0.71997,26.356,26.356,?,0.10137,0,-0.68585,-0.80426,0.10137,1.1413,0.80284,-0.15975,-0.15975,-2113.5,-0.66697,4.3695,1.6939,0,?,13.849,488.48,0.74721,0.96434,0,6532
0.51053,0.21015,0.64911,4.0888,128.34,1.4618,0.63169,3.4115,1.4108,0.71692,0.63169,3.0059,0.30419,0.63169,117.55,3.1051,4.7585,0.63169,0.29446,12.512,0.97918,0.63681,0.23798,1.8091,0.71692,2.5286,4.1881,4.612,4.4444,-0.12736,0.29446,50.446,7.2355,3.0303,0.63681,2.1714,?,0.71692,0.29685,2.4949,0.010505,0.29685,56.99,44.478,6.9428,3.7389,17.652,0.61596,0.28713,4.0888,0.21015,0.13821,5.0938,5.0938,18059.0,0.2912,0.71212,0.7088,0.0,29.173,8.2062,35.756,10.208,15.242,0,4124
0.035117,0.57917,0.10185,1.2826,-55.381,0,0.035117,0.72661,0.80913,0.42083,0.053019,0.097425,0.11294,0.035117,2313.4,0.15778,1.7266,0.035117,0.043401,94.233,1.0398,0.051798,0.043401,0.2422,0.035117,0.15778,2.8936,0.18941,4.4294,0.68666,0.065525,172.76,2.1128,1.3149,0.047578,0.80913,5.7395,0.46498,0.058801,0.069412,0.17865,0.064017,197.26,103.02,0.16811,0.70301,100.12,-0.0044655,-0.0055189,0.79822,0.36045,0.47331,0.78265,0.86477,2737.2,0.058801,0.08344800000000001,0.95689,0.10490999999999999,3.8734,3.5429,162.6,2.2448,1.5048,0,1842
0.41145,0.3431,0.070486,1.2612,-8.4049,1.2368,0.41145,1.8881,1.1279,0.6478,0.41145,1.5246,0.13708,0.41145,246.43,1.4811,2.9146,0.41145,0.11099,14.047,1.0789,0.42323,0.11099,1.2368,0.6478,1.4811,1.2877,0.10685,5.1097,0.087793,0.11099,29.969,12.179,1.2335,0.42323,3.7281,2.6993,0.72104,0.11417,0.073876,0.021694,0.11417,31.548,17.501,2.8839,0.73252,15.843,0.3265,0.088073,0.99199,0.26987,0.082106,0.98205,1.0931,9073.8,0.11338,0.6351399999999999,0.88662,0.11305,25.984,20.856,26.571,13.737,5.6199,0,8234
0.16145,0.76381,0.12947,2.1945,39.468,0,0.17025,0.30923,3.7441,0.23619,0.17025,1.5707,0.056448,0.17025,1319.1,0.2767,1.3092,0.17025,0.04547,11.241,0.99545,0.17025,0.043121,1.0102,0.00025308,0.26519,?,0.16988,2.7926,0.17665,0.04547,10.907,33.466,4.7489,0.11691,3.7441,0.18697,0.89161,0.031225,0.94472,0.12047,0.04547,13.206,1.9643,1.4001,1.1306,11.604,0.12914,0.034492,0.31141,0.10839,0.029881,0.30991,1.1699,80.317,0.031225,0.6835600000000001,0.96877,2.7749,32.469,185.81,10.566,34.545,4.9127,0,6088
-0.13034,0.59518,0.15712,1.264,-61.057,-0.24872,-0.13034,0.68015,2.2865,0.40482,-0.10589,-0.21899,-0.040567,-0.13034,-2342,-0.15585,1.6802,-0.13034,-0.057003,97.61,0.78438,-0.10589,-0.057003,-0.35665,0.16427,-0.15585,-4.3308,0.63431,2.698,0.25977,-0.057003,79.102,4.6143,4.6143,-0.45984,2.2865,?,0.40482,-0.20111,0.010558,-0.29042,-0.046312,119.09,21.478,-0.21316,0.23662,81.266,-0.14347,-0.062748,1.264,0.59518,0.21672,1.6343,1.6343,78.381,-0.20111,-0.32197,1.0493,0.0,3.7394,16.994,95.01,3.8417,9.231,0,5226
0.054497,0.99994,-0.29975,0.58931,-107.78,-0.083145,0.054497,-0.10616,1.0766,-0.10615,0.054497,0.074667,0.066373,0.054497,2970.2,0.12289,1.0001,0.054497,0.029436,23.646,1.019,0.11298,0.029436,-0.083145,-0.10615,0.12289,0.65698,-0.52598,3.9983,0.51205,0.029436,154.92,2.3561,0.11298,0.11298,1.8958,1.1485,0.16393,0.061024,0.1735,0.18127,0.061024,59.833,36.187,0.45438,0.42498,25.457,0.044594,0.024087,0.43014,0.72986,0.42443,-0.18627,0.28765,-2985.7,0.071146,-0.5133800000000001,0.92885,-2.5443,15.436,10.086,143.89,2.5366,3.2486,0,5994
0.12704,0.28618,0.47594,2.6631,47.02,0,0.15741,2.4943,1.8095,0.71382,0.17423,0.55006,0.12257,0.15741,470.95,0.77503,3.4943,0.15741,0.086992,51.038,1.4421,0.17423,0.070206,0.45655,0.62557,0.66889,10.362,2.0008,3.8405,0.1067,0.089951,63.305,5.7658,5.7658,0.15949,1.8095,?,0.71382,0.088141,0.38062,0.039978,0.096284,131.76,80.718,0.50208,1.7789,55.972,0.10985,0.060704,2.6631,0.28618,0.17344,3.0008,3.0008,3296.6,0.088141,0.17797000000000002,0.91374,0.0,7.1515,4.5219,57.725,6.3231,7.6068,0,9264
0.096742,0.48064,0.10237,1.238,-0.92102,0.0015803,0.12047,1.0806,1.695,0.51936,0.13435,0.28004,0.10174,0.12047,1017.3,0.35879,2.0806,0.12047,0.071073,18.897,1.1569,0.13142,0.057075,0.39659,0.48835,0.30943,9.4659,0.21901,4.2074,0.20826,0.07831,100.25,3.6409,3.2587,0.12873,1.695,26.228,0.53632,0.075944,0.33971,0.087355,0.077536,83.212,64.315,1.1024,1.034,20.45,0.079443,0.046869,1.108,0.43019,0.27466,1.1111,1.1474,1650.6,0.075944,0.18627,0.92939,0.032655,19.315,5.6752,92.636,3.9402,3.6261,0,6814
0.16212,0.16886,0.48579,5.0657,83.599,0.38095,0.20565,4.9205,1.138,0.83089,0.20565,1.7211,0.12852,0.20565,260.13,1.4032,5.922,0.20565,0.11155,21.411,1.0747,0.18862,0.087939,0.48048,0.83089,1.1454,1.1643,1.2307,4.433,-0.041234,0.11155,26.921,13.558,1.117,0.18862,1.8776,10.068,0.88026,0.10231,2.1224,0.025245,0.10231,69.628,48.217,1.4991,4.1606,24.366,0.15733,0.085338,3.5844,0.11949,0.073755,2.105,2.2301,13167.0,0.12127,0.19512000000000002,0.87873,0.059426,17.047,7.57,23.656,15.429,4.6706,0,5253
0.058412,0.75111,-0.14564,0.74716,-135.2,0.015885,0.060426,0.31631,1.0922,0.23759,0.060426,0.1049,0.12852,0.060426,1753.6,0.20814,1.3314,0.060426,0.049672,70.317,1.4622,0.10229,0.048016,0.0179,0.23759,0.20546,0.91841,-0.25568,5.111,0.61703,0.049672,188.76,1.9336,0.13619,0.10229,1.2191,1.1195,0.41268,0.084088,0.0048119,0.12459,0.084088,128.3,57.982,0.24924,0.3403,76.801,0.0063799,0.0052445,0.57299,0.57602,0.51716,0.41709,0.72448,-18807.0,0.084424,0.24585,0.91558,0.73698,5.1908,6.2951,172.83,2.1119,2.1356,0,8587
0.053755,0.52105,0.13342,1.2755,-40.485,0.15369,0.071334,0.73737,1.0589,0.38421,0.071334,0.1473,0.082029,0.071334,1289.6,0.28303,1.9192,0.071334,0.039679,59.985,0.96854,0.10365,0.029901,0.17473,0.38421,0.24929,0.61053,0.34899,4.1984,0.28746,0.039679,104.11,3.5057,0.19893,0.10365,1.823,8.7654,0.42097,0.057657,0.050797,0.09528,0.057657,120.42,60.432,0.18194,0.66542,63.517,0.027518,0.015307,1.1855,0.48429,0.28525,1.005,1.1012,2106.8,0.05562,0.13990999999999998,0.94438,0.095689,6.0849,6.0398,98.324,3.7122,4.7026,0,4592
0.060780999999999995,0.069351,0.7004600000000001,11.1,186.61,0.14827,0.078823,12.062000000000001,1.0698,0.8365299999999999,0.078823,1.1366,0.10851,0.078823,232.07,1.5728,14.419,0.078823,0.078414,81.977,1.1883,0.063356,0.060466,0.19874,0.8365299999999999,1.3127,0.67425,3.043,4.4172,-0.30539,0.078414,26.939,13.549,0.91356,0.063356,1.0294,?,0.8365299999999999,0.063028,5.4742,0.024357,0.063028,141.67,59.697,0.26922,7.8449,87.696,0.033102,0.03293,11.1,0.069351,0.073804,3.6342,3.6342,18306.0,0.065213,0.072658,0.93479,0,4.4524,6.1142,25.182,14.495,4.3669,0,9637
0.02811,0.50323,0.33438,1.6696,-50.471,0.24377,0.048097,0.98188,1.0279,0.49411,0.048097,0.096312,0.059157,0.048097,1671.7,0.21834,1.9871,0.048097,0.025895,106.96,0.85483,0.065793,0.015134,0.30428,0.49411,0.17862,0.36411,2.0115,3.9567,0.25796,0.025895,100.88,3.6183,0.13074,0.065793,1.8777,75.273,0.49796,0.035422,0.11786,0.12969,0.035422,152.28,45.321,0.051646,0.57969,109.94,0.0040127,0.0021604,1.6568,0.49939,0.27637,2.9724,2.9955,3026.5,0.027164,0.056889,0.97284,0.0077833,3.4126,8.0536,98.135,3.7194,11.173,0,8594
0.10598,0.36029,0.074949,1.4528,24.878,0.23133,0.10598,1.7702,1.2297,0.63779,0.10598,0.64023,0.19992,0.10598,1055.2,0.34589,2.7755,0.10598,0.17002,16.662,1.2455,0.11927,0.17002,0.23139,0.63779,0.34589,2.3529,0.098681,4.8959,0.48516,0.17002,119.19,3.0622,0.33105,0.11927,0.6312,1.0887,0.83254,0.19134,0.42655,0.085889,0.19134,99.469,82.807,3.7244,1.2809,20.489,0.10063,0.16144,0.66748,0.16554,0.32656,0.83973,1.0961,5897.8,0.1868,0.16617,0.8132,0.30535999999999996,21.906,4.4078,96.928,3.7657,0.82074,0,2717
-0.05927,0.52514,0.17768,1.3566,-58.869,0.041717,-0.071679,0.87098,0.9741,0.45739,-0.071679,-0.14384,0.0014677,-0.071679,68766,0.0053078,1.9042,-0.071679,-0.037742,92.683,0.94771,-0.061808,-0.031208,0.055728,0.45739,0.028938,-0.31702,0.54836,4.4313,0.2758,-0.037742,93.29,3.9125,-0.1177,-0.061808,1.9244,7.2212,0.48422,-0.032544,0.0068426,1.3639,-0.032544,129.26,36.579,-0.1229,0.38879,90.283,-0.13627,-0.071754,1.2872,0.49831,0.25559,1.4116,1.4944,4796.0,-0.026584,-0.12958,1.0266,0.058658,3.9382,9.9783,95.77,3.8112,5.8614,0,8559
-0.00016006,0.63256,0.38921,1.6762,9.7313,0.16244,0.002353,0.58087,7.138999999999999,0.36744,0.030111,0.0040878,0.0057765,0.002353,5598.8,0.065193,1.5809,0.002353,0.00032959,9.0268,1.1856,0.028647,-2.242E-05,0.0025714,0.19219,0.06122,1.032,11.061,2.9324,0.075766,0.0035885,29.526,12.362,11.249,0.023483,7.139,14.762,0.42083,0.0032894,0.19637,0.31223,0.0040127,43.55,34.523,-0.00090656,1.3694,9.0565,-0.010239,-0.0014342,1.5252,0.57561,0.080894,10.442,11.96,333.14,0.0032892,-0.00043561,0.99967,0.14532,40.435,10.573,29.429,12.403,202.89,0,5454
-0.039354,0.34316,0.25424,1.762,-2212.4,0,-0.039354,1.9141,1.3645,0.65684,-0.039354,-0.11796,0.31824,-0.039354,288.44,1.2654,2.9141,-0.039354,-0.028842,105.53,0.72852,0,-0.028842,-0.22088,0.60855,1.2654,?,0.61688,3.6408,0.2507,-0.057683,245.15,1.4889,1.4476,0.048035,1.3645,20.295,0.66637,0.035204,0.0093227,0.024153,0,156.42,50.894,-0.099756,0.57958,289.87,-0.47359,-0.34709,1.7131,0.33363,0.67163,1.5938,1.6169,1111.8,0.63595,-0.059914,0.37921,0.014506,3.4588,7.1718,89.247,4.0898,3.3108,0,6936
0.023352,0.55552,-0.0035778,0.98329,-2231.2,0,0.025209,0.80013,0.88965,0.44448,0.043072,0.11776,0.028336,0.025209,8043.3,0.045379,1.8001,0.025209,0.028336,40.234,1.0474,0.038671,0.026248,0.051376,0.29488,0.042036,2.1649,-0.0045317,4.2557,0.60795,0.048401,98.734,3.7007,1.4261,0.024389,0.88965,0.34686,0.76861,0.027414,0.34737,0.47884,0.043467,55.851,15.617,0.23812,0.52519,45.183,0.038671,0.043467,0.37892,0.21407,0.27022,0.56299,0.97354,-64.462,0.11046,0.052537,0.91055,0.72923,9.0719,23.371,87.828,4.1559,1.1269,0,4212
-0.063427,0.13864,0.49259,4.5532,98.509,0.20252,-0.074213,5.7311,0.89589,0.79453,-0.074213,-0.53531,-0.076113,-0.074213,-994.69,-0.36695,7.2132,-0.074213,-0.11103,160.91,0.4321,-0.068363,-0.094897,0.25934,0.79453,-0.28915,-0.91634,1.3358,4.863,0.015877,-0.11103,67.826,5.3814,-0.49312,-0.068363,0.73324,?,0.79453,-0.10228,0.92473,-0.10123,-0.10228,274.7,113.79,-0.21526,2.4277,144.16,-0.091704,-0.1372,4.5532,0.13864,0.18583,2.1545,2.1545,35936.0,-0.11621,-0.07983,1.1162,0.0,2.2683,3.2077,75.708,4.8211,1.8124,0,8848
0.030313,0.078316,0.23408,4.118,157.9,0.089639,0.043065,5.2447,1.0689,0.41074,0.043065,0.57363,0.13048,0.043065,420.75,0.8675,12.769,0.043065,0.082708,21.625,1.0616,0.049254,0.058218,0.11419,0.41074,0.70467,1.0111,0.33883,4.269,-0.32653,0.082708,56.254,6.4884,0.62891,0.049254,0.55393,85.834,0.41398,0.094595,3.3143,0.034734,0.094595,42.295,20.669,0.98262,3.7071,23.116,0.02438,0.046822,3.9475,0.075074,0.15412,0.59455,0.59924,4349.0,0.064479,0.073801,0.93552,0.007893899999999999,16.878,17.659,52.627,6.9356,0.75369,0,9070
-0.081502,0.32791,0.0058561,1.0179,-16.685,-0.14197,-0.081095,1.3518,0.95601,0.44327,-0.081095,-0.24731,-0.0394,-0.081095,-2313.9,-0.15774,3.0496,-0.081095,-0.06177,16.496,0.83005,-0.042593,-0.062081,-0.12898,0.44327,-0.15899,-0.31016,0.0087899,5.2637,0.23036,-0.06177,87.157,4.1878,-0.12989,-0.042593,1.3729,?,0.44327,-0.032443,0.10457,-0.81524,-0.032443,83.261,66.765,-1.3736,0.83691,15.771,-0.071961,-0.054813,1.0179,0.32791,0.23879,0.66534,0.66534,1074.8,-0.04601,-0.18387,1.046,0.0,22.126,5.4669,91.167,4.0036,1.9705,0,2985
0.018734999999999998,1.0627,-0.043267,0.9575,-18.849,-0.088383,0.01995,-0.058990999999999995,1.5324,-0.062692,0.01995,0.019596,0.015209,0.01995,16643.0,0.021931,0.94096,0.01995,0.013019,8.4247,0.91891,0.019875999999999998,0.012226,0.05043,-0.069648,0.020788,?,-1.7136,3.8566,0.58983,0.013019,246.11,1.4857,1.4233,0.022558,1.5325,?,-0.062692,0.014721,0.15643,1.5248,0.01297,194.25,185.83,0.5297,0.19117,8.5352,0.016519,0.01078,0.91727,1.0181,0.67309,-2.4829,-2.4829,-311.0,0.014707,-0.29885,0.98699,0,43.325,1.9642,242.49,1.5052,60.692,1,7708
0.29947,0.24446,0.45675,3.0243,68.186,0,0.29947,3.0907,1.4598,0.75554,0.31022,1.3272,0.20515,0.29947,297.95,1.225,4.0907,0.29947,0.20515,70.008,1.3556,0,0.20515,0.84702,0.29947,1.225,0,1.438,3.7391,0.13945,0.4103,96.928,3.7657,3.4757,0.019038,1.4598,21.78,0.77402,0.013042,0.25138,?,0,156.44,86.434,1.0696,1.7834,120.28,0,0,2.7914,0.22564,0.26556,2.3788,2.437,2504.6,0.41793,0.39636,0.58858,0.024453,5.2137,4.2229,56.419,6.4695,4.596,0,5894
0.050861,0.95206,-0.12529,0.81298,-23.404,-0.82499,0.050861,0.050342000000000005,3.7069,0.047929,0.087756,0.075919,0.023902,0.050861,3921.9,0.093067,1.0504,0.050861,0.01372,10.602,1.2683,0.087648,0.01372,-0.035793,-0.31501999999999997,0.093067,2.3756,-0.2752,4.1486,0.25466,0.01372,67.783,5.4079,3.8054,0.099368,3.7108,1.5917,0.32245,0.026806,0.012193,0.25309,0.023644,52.823,42.221,0.47234,0.17292,10.848,0.049904000000000004,0.013462,0.57207,0.66993,0.18491,0.10527,0.70824,-1764.0,0.026825,1.0612,0.97634,5.7277,34.426,8.645,65.964,5.5333,8.142,1,6038
-0.021712,0.45413,0.34998,1.8018,29.985,0,-0.0029462,1.202,0.7563300000000001,0.54587,0.019157,-0.00675,0.022866,-0.0029462,9584.6,0.038082,2.202,-0.0029462,-0.0038954,122.63,0.88616,-0.0081854,-0.028707,0.056072,0.5387,-0.0032404,-0.37032,1.6389,5.1057,0.58044,0.025325,219.65,1.6617,1.5971,0.031039,0.75633,?,0.54587,0.041039,0.11976,1.2557,-0.010822,354.31,231.68,-0.085445,1.2196,127.88,-0.028426,-0.037584,1.7318,0.43648,0.60179,2.5562,2.5562,44637.0,0.041039,-0.039775,1.0036,0.0,2.9765,1.5754,210.64,1.7328,3.5417,0,7932
-0.027972,0.033812,0.34497,11.202,6.7229,0,-0.027972,28.575,1.2124,0.96619,-0.027972,-0.82726,0.019614,-0.027972,518.98,0.7033,29.575,-0.027972,-0.023072,97.171,1.1216,-0.028055,-0.023072,-0.19873,0.80547,0.7033,?,0.5553,2.4929,0.026831,-0.023072,9.9492,36.686,36.686,-0.028055,1.2124,?,0.96619,-0.023141,0.037931,0.047563,-0.023141,113.65,16.476,-0.086663,1.6565,94.973,-0.079808,-0.065826,11.202,0.033812,0.027258,1.5553,1.5553,107.32,-0.023141,-0.028950999999999998,1.0231,0.0,3.7563,22.153,10.179,35.856,1.9516,0,5502
0.14122,0.21862,0.031062,1.17,-25.081,0.066064,0.1746,3.5742,1.1667,0.78138,0.1746,0.95571,0.13827,0.1746,457.02,0.79865,4.5742,0.1746,0.13827,30.294,2.2724,0.17603,0.11184,0.085321,0.78138,0.64598,1.6264,0.039507,6.3649,0.17268,0.13827,61.608,5.9245,0.80521,0.17603,1.2657,3.0324,0.81731,0.1394,0.012164,0.04083,0.1394,61.143,30.849,1.3475,0.59634,35.343,0.17603,0.1394,0.97775,0.18269,0.16879,0.99381,1.0395,71974.0,0.14286,0.18073,0.85714,0.045979,12.048,11.832,52.807,6.912,1.606,0,3402
